2022-05-18/01:12:29		Created an instance of <class 'trainingModel.trainModel'> class.
2022-05-18/01:35:01		R2 score for XGBoost:0.8705314775308147
2022-05-18/01:35:01		Evaluating Random forest prediction and calculating score.
2022-05-18/01:35:01		RMSE for RF: 17.083141018749416
2022-05-18/01:35:01		R2 score for RF: 0.8313673760230462
2022-05-18/01:35:01		Based on scores XGBoost model is selected!
2022-05-18/01:35:02		Model XGBoost selected for cluster 2. Saving model.
2022-05-18/01:35:02		Entered the save_model method of <class 'file_operations.file_methods.File_Operation'>
2022-05-18/01:35:02		Removing old model directory and creating fresh directory.
2022-05-18/01:35:02		Trying to save model XGBoost2
2022-05-18/01:35:02		Model saved successfully!
2022-05-18/01:35:02		Exited the save_model method of <class 'file_operations.file_methods.File_Operation'>
2022-05-18/01:35:02		Training complete for Cluster 2
2022-05-18/01:35:02		Scaling cluster data for cluster 0
2022-05-18/01:35:02		Starting scaleData method of <class 'data_preprocessing.preprocessing.Preprocessor'> class.
2022-05-18/01:35:02		Finding all numeric datatype columns.
2022-05-18/01:35:02		Data scaled successfully. Exiting scaleData method of <class 'data_preprocessing.preprocessing.Preprocessor'> class.
2022-05-18/01:35:02		Starting scaleData method of <class 'data_preprocessing.preprocessing.Preprocessor'> class.
2022-05-18/01:35:02		Finding all numeric datatype columns.
2022-05-18/01:35:02		Data scaled successfully. Exiting scaleData method of <class 'data_preprocessing.preprocessing.Preprocessor'> class.
2022-05-18/01:35:02		Initialize model tuning for cluster 0
2022-05-18/01:35:02		Entered the get_best_model method of <class 'best_model_finder.tuner.Model_Finder'>
2022-05-18/01:35:02		Starting training for XGBoost regressor.
2022-05-18/01:35:02		Entered the get_best_params_for_xgboost method of <class 'best_model_finder.tuner.Model_Finder'>
2022-05-18/01:35:02		Getting best parameter for model with Randomized search.
2022-05-18/01:35:15		RandomizedSearchCV search for parameters complete.
2022-05-18/01:35:15		Training XGBoost regressor with best parameters.
2022-05-18/01:35:15		Training complete!
2022-05-18/01:35:15		XGBoost best params: {'n_estimators': 50, 'min_samples_split': 150, 'min_samples_leaf': 40, 'max_depth': 4, 'learning_rate': 0.1}
2022-05-18/01:35:15		Exited the get_best_params_for_xgboost method of <class 'best_model_finder.tuner.Model_Finder'>
2022-05-18/01:35:15		Starting training for Random Forest regressor.
2022-05-18/01:35:15		Entered the get_best_params_for_random_forest method of <class 'best_model_finder.tuner.Model_Finder'>
2022-05-18/01:35:15		Getting best parameter for model with Randomized search.
2022-05-18/01:36:49		Estimated required paramters.
2022-05-18/01:36:49		Training random forest regressor with best parameters.
2022-05-18/01:36:56		Training complete!
2022-05-18/01:36:56		Random Forest best params: {'n_estimators': 100, 'min_samples_split': 100, 'min_samples_leaf': 30, 'max_depth': 12}
2022-05-18/01:36:56		Exited the get_best_params_for_random_forest method of <class 'best_model_finder.tuner.Model_Finder'>
2022-05-18/01:36:56		Evaluating XGBoost prediction and calculating score.
2022-05-18/01:36:56		RMSE for XGBoost:17.011014405805266
2022-05-18/01:36:56		R2 score for XGBoost:0.8331548749673693
2022-05-18/01:36:56		Evaluating Random forest prediction and calculating score.
2022-05-18/01:36:56		RMSE for RF: 18.24816340197122
2022-05-18/01:36:56		R2 score for RF: 0.8080043366490588
2022-05-18/01:36:56		Based on scores XGBoost model is selected!
2022-05-18/01:36:56		Model XGBoost selected for cluster 0. Saving model.
2022-05-18/01:36:56		Entered the save_model method of <class 'file_operations.file_methods.File_Operation'>
2022-05-18/01:36:56		Removing old model directory and creating fresh directory.
2022-05-18/01:36:56		Trying to save model XGBoost0
2022-05-18/01:36:56		Model saved successfully!
2022-05-18/01:36:56		Exited the save_model method of <class 'file_operations.file_methods.File_Operation'>
2022-05-18/01:36:56		Training complete for Cluster 0
2022-05-18/01:36:56		Scaling cluster data for cluster 1
2022-05-18/01:36:56		Starting scaleData method of <class 'data_preprocessing.preprocessing.Preprocessor'> class.
2022-05-18/01:36:56		Finding all numeric datatype columns.
2022-05-18/01:36:57		Data scaled successfully. Exiting scaleData method of <class 'data_preprocessing.preprocessing.Preprocessor'> class.
2022-05-18/01:36:57		Starting scaleData method of <class 'data_preprocessing.preprocessing.Preprocessor'> class.
2022-05-18/01:36:57		Finding all numeric datatype columns.
2022-05-18/01:36:57		Data scaled successfully. Exiting scaleData method of <class 'data_preprocessing.preprocessing.Preprocessor'> class.
2022-05-18/01:36:57		Initialize model tuning for cluster 1
2022-05-18/01:36:57		Entered the get_best_model method of <class 'best_model_finder.tuner.Model_Finder'>
2022-05-18/01:36:57		Starting training for XGBoost regressor.
2022-05-18/01:36:57		Entered the get_best_params_for_xgboost method of <class 'best_model_finder.tuner.Model_Finder'>
2022-05-18/01:36:57		Getting best parameter for model with Randomized search.
2022-05-18/01:38:32		RandomizedSearchCV search for parameters complete.
2022-05-18/01:38:32		Training XGBoost regressor with best parameters.
2022-05-18/01:38:38		Training complete!
2022-05-18/01:38:38		XGBoost best params: {'n_estimators': 100, 'min_samples_split': 50, 'min_samples_leaf': 40, 'max_depth': 8, 'learning_rate': 0.1}
2022-05-18/01:38:38		Exited the get_best_params_for_xgboost method of <class 'best_model_finder.tuner.Model_Finder'>
2022-05-18/01:38:38		Starting training for Random Forest regressor.
2022-05-18/01:38:38		Entered the get_best_params_for_random_forest method of <class 'best_model_finder.tuner.Model_Finder'>
2022-05-18/01:38:38		Getting best parameter for model with Randomized search.
2022-05-18/01:48:20		Estimated required paramters.
2022-05-18/01:48:20		Training random forest regressor with best parameters.
2022-05-18/01:49:09		Training complete!
2022-05-18/01:49:09		Random Forest best params: {'n_estimators': 130, 'min_samples_split': 60, 'min_samples_leaf': 50, 'max_depth': 12}
2022-05-18/01:49:09		Exited the get_best_params_for_random_forest method of <class 'best_model_finder.tuner.Model_Finder'>
2022-05-18/01:49:09		Evaluating XGBoost prediction and calculating score.
2022-05-18/01:49:09		RMSE for XGBoost:14.545862738646955
2022-05-18/01:49:09		R2 score for XGBoost:0.8786165445301584
2022-05-18/01:49:09		Evaluating Random forest prediction and calculating score.
2022-05-18/01:49:09		RMSE for RF: 18.118230292157893
2022-05-18/01:49:09		R2 score for RF: 0.8116732215369058
2022-05-18/01:49:09		Based on scores XGBoost model is selected!
2022-05-18/01:49:09		Model XGBoost selected for cluster 1. Saving model.
2022-05-18/01:49:09		Entered the save_model method of <class 'file_operations.file_methods.File_Operation'>
2022-05-18/01:49:09		Removing old model directory and creating fresh directory.
2022-05-18/01:49:09		Trying to save model XGBoost1
2022-05-18/01:49:09		Model saved successfully!
2022-05-18/01:49:09		Exited the save_model method of <class 'file_operations.file_methods.File_Operation'>
2022-05-18/01:49:09		Training complete for Cluster 1
2022-05-18/01:49:09		Training finished for the data train_input_002
2022-05-18/01:49:09		Training completed for all datasets.
